,MURI_016,MURI_017,MURI_018,MURI_019,MURI_020,MURI_025,MURI_026,MURI_027,MURI_028,MURI_029,MURI_034,MURI_035,MURI_036,MURI_037,MURI_038,MURI_043,MURI_044,MURI_045,MURI_046,MURI_047,MURI_052,MURI_053,MURI_054,MURI_055,MURI_056,MURI_069,MURI_070,MURI_071,MURI_072,MURI_077,MURI_079,MURI_080,MURI_085,MURI_087,MURI_089,MURI_091,MURI_093,MURI_095,MURI_097,MURI_098,MURI_099,MURI_100,MURI_101,MURI_106,MURI_107,MURI_108,MURI_110,MURI_118,MURI_119,MURI_120,MURI_122,MURI_130,MURI_131,MURI_132,MURI_134
ECB_00001,5.38752063269484,5.47689907038214,9.88217830923706,5.87374727233749,6.00800666305499,6.40893180683454,5.81805303058622,5.83564764682519,5.49701897736669,5.21428983162915,6.1699898509756,6.29626395787337,6.95107440024156,8.17242777414509,6.01275850970066,6.94617902748484,5.983045100597,6.99410859201107,5.11011512463262,4.53713978128295,4.86564569953461,4.69902763193012,4.26528427918047,3.91515179475142,4.88161030540372,7.24344966652695,6.82360323622788,6.32114591629127,6.99372735039367,5.55311314239764,5.9930369135192,5.30737462976099,7.40972610104059,6.40641896432682,7.01362633858319,6.50089727683135,7.25304186606516,7.1594473566416,6.05262720608575,6.35716277766981,6.44650985566887,6.2029707379715,8.37407243636708,4.24280853007743,5.77219696652291,4.936342933197,4.67922779018357,4.76393813370637,5.73032287859501,4.38572117607056,4.88990569228116,-0.552484502152329,3.33708363447616,4.82257749024562,6.93468235699789
ECB_00002,9.34751306489716,9.88587450135691,10.6452992958063,10.4956723583864,5.23845083899489,10.5125249637106,10.0306664507127,10.0840898398179,10.7612769075745,10.3945949689879,7.66814586056103,8.68335675523594,9.01830281297474,9.12579674620016,5.61723186028907,9.17973534407297,8.91749018048408,8.59431715142393,6.5333329208534,4.53713978128295,8.39232602391971,7.60964340833847,7.47337957663192,7.02946219254333,4.67002954573608,9.23698916243892,5.90245500590002,6.2919067235152,6.98448918874547,6.78750255544363,7.00482169800007,8.94845615571593,9.43958285010959,8.90121132912131,9.20572695879048,6.63431636830785,9.89319795288508,9.84472375530748,9.38301655504637,9.08359574101627,9.65420847530175,10.0090450096504,5.46739764755424,6.90347877870235,7.20075589365411,6.94960722566215,7.44459124338577,5.68600493919212,5.80439356353421,6.52448186175938,6.92645692500561,5.03190205323744,7.02513520778563,7.75070173825105,7.53768018049929
ECB_00003,8.26271627075029,8.35696138688122,8.23715747536691,8.89052725452336,5.18391276077568,9.37941045758442,8.5596032835338,8.69866034499822,9.36210589952947,8.76953847249503,6.73251286469383,7.5199004719273,7.83183266533128,8.19769442321011,3.95644632646007,8.0960770093257,7.71930532691273,7.34640769990109,5.27381358324586,2.75774978444638,7.09337592248668,6.90551676193606,6.46360454992428,5.95118098148262,4.12199590480592,8.27578581439644,4.41855041188063,5.19535712281758,5.73919302580459,6.35700742249508,6.01994083683977,7.32356188984053,8.26862630110908,7.48305011307226,7.87681230348157,5.24457677426838,8.33687690858734,8.48417372478802,7.87284564132981,7.73221898941936,8.31848609962483,8.92960265655261,4.55970377904718,5.577035947294,6.25565058238412,5.5273158279356,6.69089315215248,5.35215193929952,5.52656974507088,6.34673400665726,5.71836676568309,5.28506856782306,6.33000592959591,5.56459040324875,6.59907116738841
ECB_00004,8.16100486138826,8.63437414984119,8.34133579413858,9.02098142548342,5.00670582628265,9.41230020490738,8.940779885208,8.92329486594545,9.3340092837624,8.7151170774482,6.80245315795428,7.53831979793046,8.20646358262652,8.23884634549616,4.82975831838359,8.42453065515191,8.30465179218173,7.85736243480832,4.71352222590962,-0.552484502152329,7.64963556580988,7.06328579557241,7.3202957777918,6.34210861406806,3.2251814954218,8.31047641582311,4.0327911748141,3.22252083796649,5.18305815956693,6.42694543926262,7.21730737703253,7.26396119112231,8.63574386283838,8.21447893407743,8.18043382200494,5.93817271043812,8.9910524634191,8.97631041933122,8.14985537884182,8.14642002851427,8.56746799494039,8.92011138377831,3.81135313922619,6.50661845812284,6.17106317276197,5.98505342704073,7.57520686741519,4.84246806999419,5.65224107118618,6.06950364000753,6.17211581298666,5.03190205323744,5.75709288909586,5.24080335664774,6.65359569477963
ECB_00005,4.51753415820637,5.08747827711681,3.57985829818022,5.55208983022971,2.45386361555487,5.48758662758599,5.30702765539156,5.47272553746544,5.34541949757897,4.8408709466443,3.72387282953939,4.378278910735,4.25234922595874,5.49063673289151,1.30166703556469,4.8928369532275,4.64579848279425,4.76089426994105,2.4400204055581,-0.552484502152329,4.05982777097635,3.92474236144919,4.05922329117212,2.76481171463434,2.40451925427615,5.58440966391189,-0.552484502152329,-0.552484502152329,3.35985099853204,4.54402712088639,3.73512848698233,2.83445485486791,5.81418319493778,5.02115154906381,5.27307129629974,3.3351578420307,5.37136735309071,5.72861726171514,4.85104954227486,5.01939962885902,5.51237858904638,5.83140656277886,2.5975266245502,3.82029147887562,4.38679807694346,4.45968746033185,4.83467934052712,3.15487318071681,4.80285665875649,4.71391711144772,3.57743740310434,-0.552484502152329,3.33708363447616,2.14707375296106,2.86271066164794
ECB_00006,4.03231590012999,3.90927658493196,2.99108580249527,3.5532270858228,2.45386361555487,2.86240003609156,2.47577551686748,2.90621847970044,3.76682406862377,2.97151263704846,2.38856498754829,3.34500730694859,3.86998613172096,3.11646371989833,2.95492887326411,2.80099479156666,2.7317766479538,1.98494074753314,2.4400204055581,-0.552484502152329,2.04530810232249,2.89889523140115,2.67866574764631,2.76481171463434,3.74255458718171,3.14631012994895,2.20265556590799,2.94854312654682,3.47029391592485,3.1107215030897,4.17956340139774,2.54140533937602,2.88791897842838,3.66043391232578,3.47375506461079,3.85732047154234,2.17944541220525,3.04668223232617,4.07523320406716,4.28868243974156,3.08125542640337,3.31110832581761,2.14924441952181,1.48381826532859,2.49361749442988,3.74215664719571,3.46356176689166,2.88298433414926,2.45242372507181,1.57843055817348,3.06754432411099,-0.552484502152329,2.06413154193516,2.59516656559721,3.36169995454407
ECB_00007,-0.552484502152329,1.1415612993406,-0.552484502152329,1.30913045818705,2.01751257488872,1.29517110424108,0.767560207757696,1.45570294852161,2.04148907780527,1.45003853831569,-0.552484502152329,1.57344297966671,0.707215502962282,0.720642096319849,1.9343786669724,-0.552484502152329,0.911212434792965,-0.552484502152329,-0.552484502152329,-0.552484502152329,1.64754655110393,-0.552484502152329,-0.552484502152329,-0.552484502152329,-0.552484502152329,1.99637792389658,-0.552484502152329,1.4863609217343,0.953927935022726,1.49967343200573,1.2424177723759,-0.552484502152329,1.27997934045844,1.74278968313728,0.767511435517747,1.40638167161125,2.17944541220525,1.09769178999749,0.962060730791857,1.48956646790585,1.23822040749055,1.54918348977568,2.14924441952181,1.48381826532859,-0.552484502152329,-0.552484502152329,-0.552484502152329,-0.552484502152329,2.01619645728045,1.57843055817348,-0.552484502152329,-0.552484502152329,2.06413154193516,1.47604212375423,2.52695782083875
ECB_00008,9.22842428941046,8.76060824001261,9.08296604888491,8.66155424404741,8.1145790866739,8.70642635595214,8.44270713961093,8.55159558357446,8.68223392879716,8.48046669806978,8.48604607476891,8.39077047436746,8.76645860609498,8.68041281974663,8.2866135184013,8.82115148199856,9.0523419588562,8.79264331365576,7.84252634652421,7.50636821234312,8.52967254680666,8.62162546537455,8.25502789505571,7.80841429839344,8.97642533744234,8.8479398486881,7.70374106908119,6.82837194882475,7.29213328006193,8.57598754812854,8.31213223983017,8.22979937383395,8.74838519027124,8.555570867072,8.34689863680732,8.40590978547003,8.74674052172653,8.84996952733063,9.30632024466292,8.38101259819404,8.62150804789287,8.46283955194304,8.05878875987468,8.04256805030656,8.3368068668933,7.78153958898773,8.66973593638428,8.00313670735376,7.96717681989802,7.87243677269205,7.92889132027787,6.83639463547456,7.44451886208006,7.98539363740972,8.20011263704099
ECB_00009,4.74562461729081,4.34334052278383,5.05520154330393,4.19079888934652,4.18094189725989,4.63274911575996,4.75711908290905,4.56348953299667,4.60122705661569,4.56402006516697,5.13022291229488,5.54687809120262,5.0646041116117,4.10386432397556,5.01392149987764,4.74800037961361,5.21979312025467,5.43937100409756,5.34918242896223,4.84246394147994,5.20275571319007,4.41635301910837,4.88075787075036,5.31691231999716,4.67002954573608,5.47743006487852,5.25163223617203,4.11914864244738,3.99789550791844,5.15174651369143,3.27904152561757,5.07733993183831,4.6248454653442,4.13801574453007,3.76174325998877,5.0670789103062,4.00396516860331,4.65496495513477,4.90868906049705,4.76708177105629,5.02341739635391,4.59802776377546,5.46739764755424,4.83478506940286,5.80063195098589,5.01530690266428,4.62344577225218,5.18143388323363,5.23666704355181,4.8085694900702,3.77730542270683,2.9213453010769,2.06413154193516,4.55691040956876,4.74070860944514
ECB_00010,3.294240086693,4.26637886156849,4.31815775846518,3.28956780220483,3.64691420072407,3.47688276908617,3.97372424458327,4.07237509515674,3.30955967269329,2.35598725395017,3.40095853845547,3.16609012958981,2.88590791604846,2.53965742218209,3.17832878705674,2.58814053120489,2.890283443561,1.98494074753314,3.54783651359905,2.75774978444638,2.81780146639372,3.59697766092953,2.67866574764631,2.76481171463434,-0.552484502152329,3.77318282353962,4.17318715309795,3.45227295967564,3.92235618685672,2.80673969490051,2.86665934331909,3.18452096743253,4.44619813397214,4.74474333981185,3.94519861612509,3.53111828756079,3.9283980621929,4.65496495513477,3.57370522773643,4.51674300594405,4.33982911252542,4.50724639205332,4.6538192720898,2.60538524563864,3.47391947489376,3.74215664719571,3.46356176689166,3.15487318071681,3.93690486406301,1.57843055817348,3.34510701081559,-0.552484502152329,2.83942489179325,3.20785679702943,3.36169995454407
