,MURI_021,MURI_022,MURI_030,MURI_031,MURI_039,MURI_040,MURI_048,MURI_049,MURI_057,MURI_058,MURI_073,MURI_074,MURI_075,MURI_076,MURI_081,MURI_083,MURI_084,MURI_086,MURI_088,MURI_090,MURI_092,MURI_094,MURI_096,MURI_102,MURI_103,MURI_112,MURI_113,MURI_114,MURI_116,MURI_124,MURI_125,MURI_126,MURI_128,MURI_136,MURI_137,MURI_138,MURI_140
YP_003043230.1,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,2.0181373923167,1.18563229586933,1.18563229586933,1.18563229586933,1.73607143252186,1.18563229586933,1.93143042843783,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933
YP_003043231.1,8.43905685602294,8.56618502566773,8.56059201594103,8.50196144759193,6.60695802603724,6.71850718543414,6.81589831363332,1.18563229586933,7.66986896039912,7.5637077105162,6.5432200981383,5.94767364328653,6.0910648772301,5.70970328473678,6.31394183506585,6.03793009038375,5.67417445157333,7.69434239480524,7.86351720430073,7.75868080876735,7.86710984454998,7.94805751107294,7.86544351430542,7.52877846978399,7.8098483585593,7.92876464755663,7.88478756736019,7.91846699423366,7.46655053194701,8.07071818512795,8.02077578596474,8.01207893179742,7.7504078772657,7.38276900225941,7.18769035870848,6.77285198625975,7.5013235745954
YP_003043232.1,6.84869228993319,6.86291930216711,6.92497513813502,6.96118713373362,4.24467205298217,5.45054984310862,5.53450866170103,1.18563229586933,5.21796612326276,5.27897307257883,4.4221431970768,3.96993866604699,4.09461584238465,3.36586238285241,4.30039357695226,3.78037275146922,2.63249153674728,6.03464073114464,6.09708901827543,6.06499116211648,5.83099207584105,5.49972262421244,5.9587827029027,5.73172109290021,5.49664503663908,5.42887303781122,5.47528809820856,5.16528013422226,5.21649346222871,5.54283989173337,5.2257321571472,5.20108619151646,4.93390148520555,4.98792721522821,5.74575864692761,5.37593910602743,5.34303052691028
YP_003043233.1,8.95605491677173,8.86006044616318,8.97683948070999,9.05787186543434,6.58259717075056,6.18634825710795,7.61846082170647,1.18563229586933,7.47260483162617,7.50113423752205,5.46415293129851,5.26249729407936,5.42435164272278,5.18797171563699,6.04743105635059,5.34980158128136,5.19878415539618,7.4724408069558,7.71596177381803,7.75236026335657,7.84732399541587,7.77067301930549,7.70879675110469,7.83599357549928,7.95895152666165,7.59196842455589,7.54366620263919,7.53548378823215,7.4466096622005,7.69342258213988,7.61638870124232,7.51251721873133,7.30113249192844,7.01436047189191,7.2187768306533,6.95276039138714,7.03448391873332
YP_003043234.1,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,2.01015050290832,2.11982469444545,1.99597026241462,2.12797262101695,2.24228500208222,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,2.037425399098,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933
YP_003043235.1,5.2296858490255,5.64721688810239,5.88044659324545,5.97265880446579,4.11268537501785,3.44752836174811,4.973844791765,1.18563229586933,5.46036508127885,5.27897307257883,3.83899422994207,4.00537933278994,4.09461584238465,4.27682451450433,3.86633665484064,4.42835310035344,4.94466247277678,5.32383785436745,5.38647212331085,5.3695490979917,5.54134464480641,5.21173745733511,5.55997426817741,5.43896880883946,4.97858577038144,5.25669004881957,5.26300231403362,4.73622104626101,5.5142200890258,3.95072912222403,4.89563607339729,4.25688117700379,5.49262719277566,3.66532850772582,4.54693257015392,3.79227121463627,5.07071544659112
YP_003043236.1,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,2.34770438005283,2.01015050290832,1.18563229586933,1.76234224404835,1.18563229586933,1.94095496540216,1.71589309689353,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933
YP_003043237.1,8.3610431566398,8.21346188425412,8.37671161845253,8.24342636396863,6.34255689805438,5.39288319222216,7.62835412631769,1.18563229586933,7.29688505833604,7.45471611745445,5.88187073950115,5.27682184518511,5.32089713466258,5.31397533591012,5.43654407419561,5.32698488088962,5.09723288072702,7.5684356675881,8.0411599752739,7.96953225355169,7.53118581006171,7.49845142096863,7.49156293534387,7.46061786028551,7.31500426172044,7.40924992649233,7.23038750471772,7.19150624299961,7.36396903740211,7.28878346627335,7.29337856520278,7.20471261111589,7.1363219847346,6.89508258310428,7.05617520539302,6.95276039138714,7.10908537183086
YP_003043238.1,4.63767857124952,4.63767857124952,4.65516026649624,4.49956923340478,3.40398937165906,3.66500983894157,3.90890908389347,1.18563229586933,3.84511439336132,4.17204551717932,3.10787782721705,2.86258660207237,2.97075274004372,2.91592987176494,3.11149035843625,2.80722117581018,2.92549763112575,4.50120253418511,4.58619411459997,4.20699006052455,3.77729463698481,3.71521128064886,4.08666690585348,4.03613996771987,2.69221662103662,3.50329946121181,3.50803622692935,3.73800350875785,3.50803622692935,3.02343087970725,3.37845698531667,2.68807691320044,3.40711844002477,3.44782828290394,3.12394513652439,1.18563229586933,3.79855463495117
YP_003043239.1,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,2.29254587148855,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933,1.18563229586933
