"","TestTrainSubsetNo","model","performance","cost","gamma","nodesize","mtry","ntree","error_test","performance_test","meanPerformance","meanPerformance_test","analyzeName"
"1",1,"linear",0.821762166405024,46.4158883361278,NA,NA,NA,NA,0.170707070707071,0.829292929292929,0.858055429320459,0.750831199481001,"int_mRNA_protein"
"2",2,"linear",0.904723530437816,68.1292069057961,NA,NA,NA,NA,0.340952380952381,0.659047619047619,0.858055429320459,0.750831199481001,"int_mRNA_protein"
"3",3,"linear",0.894272632129775,4.64158883361278,NA,NA,NA,NA,0.371428571428571,0.628571428571429,0.858055429320459,0.750831199481001,"int_mRNA_protein"
"4",4,"linear",0.8978778998779,6.81292069057961,NA,NA,NA,NA,0.130555555555556,0.869444444444444,0.858055429320459,0.750831199481001,"int_mRNA_protein"
"5",5,"linear",0.877698558055701,10000,NA,NA,NA,NA,0.171245421245421,0.828754578754579,0.858055429320459,0.750831199481001,"int_mRNA_protein"
"6",6,"linear",0.793371126228269,215.443469003188,NA,NA,NA,NA,0.216666666666667,0.783333333333333,0.858055429320459,0.750831199481001,"int_mRNA_protein"
"7",7,"linear",0.849353886853887,2.15443469003188,NA,NA,NA,NA,0.241125541125541,0.758874458874459,0.858055429320459,0.750831199481001,"int_mRNA_protein"
"8",8,"linear",0.77888801674516,146.779926762207,NA,NA,NA,NA,0.266233766233766,0.733766233766234,0.858055429320459,0.750831199481001,"int_mRNA_protein"
"9",9,"linear",0.841934414791558,46.4158883361278,NA,NA,NA,NA,0.209722222222222,0.790277777777778,0.858055429320459,0.750831199481001,"int_mRNA_protein"
"10",10,"linear",0.882014652014652,31.6227766016838,NA,NA,NA,NA,0.411666666666667,0.588333333333333,0.858055429320459,0.750831199481001,"int_mRNA_protein"
"11",11,"linear",0.89427873713588,146.779926762207,NA,NA,NA,NA,0.162121212121212,0.837878787878788,0.858055429320459,0.750831199481001,"int_mRNA_protein"
"12",12,"linear",0.802185592185592,3.16227766016838,NA,NA,NA,NA,0.2875,0.7125,0.858055429320459,0.750831199481001,"int_mRNA_protein"
"13",13,"linear",0.829965367965368,68.1292069057961,NA,NA,NA,NA,0.265277777777778,0.734722222222222,0.858055429320459,0.750831199481001,"int_mRNA_protein"
"14",14,"linear",0.871540404040404,21.5443469003188,NA,NA,NA,NA,0.3375,0.6625,0.858055429320459,0.750831199481001,"int_mRNA_protein"
"15",15,"linear",0.921749361749362,6.81292069057961,NA,NA,NA,NA,0.191774891774892,0.808225108225108,0.858055429320459,0.750831199481001,"int_mRNA_protein"
"16",16,"linear",0.948137973137973,2154.43469003188,NA,NA,NA,NA,0.327777777777778,0.672222222222222,0.858055429320459,0.750831199481001,"int_mRNA_protein"
"17",17,"linear",0.878311371168514,31.6227766016838,NA,NA,NA,NA,0.200680272108844,0.799319727891156,0.858055429320459,0.750831199481001,"int_mRNA_protein"
"18",18,"linear",0.838069800569801,215443.469003188,NA,NA,NA,NA,0.257575757575758,0.742424242424242,0.858055429320459,0.750831199481001,"int_mRNA_protein"
"19",19,"linear",0.817032051282051,21544.3469003188,NA,NA,NA,NA,0.191111111111111,0.808888888888889,0.858055429320459,0.750831199481001,"int_mRNA_protein"
"20",20,"linear",0.806666666666667,10,NA,NA,NA,NA,0.207142857142857,0.792857142857143,0.858055429320459,0.750831199481001,"int_mRNA_protein"
"21",21,"linear",0.840748140748141,3.16227766016838,NA,NA,NA,NA,0.222222222222222,0.777777777777778,0.858055429320459,0.750831199481001,"int_mRNA_protein"
