,TestTrainSubsetNo,model,performance,cost,gamma,nodesize,mtry,ntree,error_test,performance_test,meanPerformance,meanPerformance_test,analyzeName
48,48,linear,0.757048913,6.812920691,NA,NA,NA,NA,0.60625,0.39375,0.707274145,0.513642526,protein
49,49,linear,0.672900512,146.7799268,NA,NA,NA,NA,0.429861111,0.570138889,0.707274145,0.513642526,protein
50,50,linear,0.684935442,21.5443469,NA,NA,NA,NA,0.3875,0.6125,0.707274145,0.513642526,protein
51,51,linear,0.682504906,464.1588834,NA,NA,NA,NA,0.370039683,0.629960317,0.707274145,0.513642526,protein
52,52,linear,0.703241468,68.12920691,NA,NA,NA,NA,0.641369048,0.358630952,0.707274145,0.513642526,protein
53,53,linear,0.675177045,21.5443469,NA,NA,NA,NA,0.528125,0.471875,0.707274145,0.513642526,protein
54,54,linear,0.73607511,21544346.9,NA,NA,NA,NA,0.479761905,0.520238095,0.707274145,0.513642526,protein
55,55,linear,0.714251385,68.12920691,NA,NA,NA,NA,0.224206349,0.775793651,0.707274145,0.513642526,protein
56,56,linear,0.714314356,31.6227766,NA,NA,NA,NA,0.569791667,0.430208333,0.707274145,0.513642526,protein
57,57,linear,0.676716771,68.12920691,NA,NA,NA,NA,0.604761905,0.395238095,0.707274145,0.513642526,protein
58,58,linear,0.735012924,31.6227766,NA,NA,NA,NA,0.322916667,0.677083333,0.707274145,0.513642526,protein
59,59,linear,0.629818558,1000,NA,NA,NA,NA,0.43125,0.56875,0.707274145,0.513642526,protein
60,60,linear,0.675574917,31.6227766,NA,NA,NA,NA,0.459375,0.540625,0.707274145,0.513642526,protein
61,1,radial,0.74465401,316.227766,0.014677993,NA,NA,NA,0.425595238,0.574404762,0.711041806,0.487939214,protein
62,2,radial,0.734054335,2154.43469,0.021544347,NA,NA,NA,0.541369048,0.458630952,0.711041806,0.487939214,protein
63,3,radial,0.666514914,2154.43469,0.006812921,NA,NA,NA,0.446875,0.553125,0.711041806,0.487939214,protein
64,4,radial,0.752279572,31622.7766,0.003162278,NA,NA,NA,0.445238095,0.554761905,0.711041806,0.487939214,protein
65,5,radial,0.745885371,46415.88834,0.000464159,NA,NA,NA,0.451388889,0.548611111,0.711041806,0.487939214,protein
66,6,radial,0.629518751,1000,0.021544347,NA,NA,NA,0.333333333,0.666666667,0.711041806,0.487939214,protein
67,7,radial,0.66474795,215.443469,0.021544347,NA,NA,NA,0.46875,0.53125,0.711041806,0.487939214,protein
68,8,radial,0.722084194,2154.43469,0.006812921,NA,NA,NA,0.381944444,0.618055556,0.711041806,0.487939214,protein
69,9,radial,0.742349119,1000,0.031622777,NA,NA,NA,0.40327381,0.59672619,0.711041806,0.487939214,protein
70,10,radial,0.7112832,1.00E+08,0.001467799,NA,NA,NA,0.464285714,0.535714286,0.711041806,0.487939214,protein
71,11,radial,0.658484901,10000,0.000316228,NA,NA,NA,0.448511905,0.551488095,0.711041806,0.487939214,protein
72,12,radial,0.696404457,68.12920691,0.021544347,NA,NA,NA,0.455208333,0.544791667,0.711041806,0.487939214,protein
73,13,radial,0.714646903,1.00E+05,0.000464159,NA,NA,NA,0.558333333,0.441666667,0.711041806,0.487939214,protein
74,14,radial,0.74211146,14677.99268,0.003162278,NA,NA,NA,0.684027778,0.315972222,0.711041806,0.487939214,protein
75,15,radial,0.685894122,1.00E+08,0.01,NA,NA,NA,0.569196429,0.430803571,0.711041806,0.487939214,protein
76,16,radial,0.701246381,68129.20691,0.001,NA,NA,NA,0.445535714,0.554464286,0.711041806,0.487939214,protein
77,17,radial,0.737805211,21544.3469,0.001467799,NA,NA,NA,0.519345238,0.480654762,0.711041806,0.487939214,protein
78,18,radial,0.758894471,146.7799268,0.021544347,NA,NA,NA,0.5,0.5,0.711041806,0.487939214,protein
79,19,radial,0.669389869,146.7799268,0.014677993,NA,NA,NA,0.630208333,0.369791667,0.711041806,0.487939214,protein
80,20,radial,0.735207861,1.00E+05,0.000316228,NA,NA,NA,0.354166667,0.645833333,0.711041806,0.487939214,protein
81,21,radial,0.719640153,1000,0.014677993,NA,NA,NA,0.584077381,0.415922619,0.711041806,0.487939214,protein
82,22,radial,0.776638976,10000,0.006812921,NA,NA,NA,0.533234127,0.466765873,0.711041806,0.487939214,protein
83,23,radial,0.647299705,2154.43469,0.001,NA,NA,NA,0.479166667,0.520833333,0.711041806,0.487939214,protein
84,24,radial,0.76400532,316227.766,1.00E-04,NA,NA,NA,0.460416667,0.539583333,0.711041806,0.487939214,protein
85,25,radial,0.74865341,46415888.34,0.000215443,NA,NA,NA,0.473958333,0.526041667,0.711041806,0.487939214,protein
86,26,radial,0.683315018,6812.920691,0.006812921,NA,NA,NA,0.626041667,0.373958333,0.711041806,0.487939214,protein
87,27,radial,0.76671539,681.2920691,0.01,NA,NA,NA,0.651041667,0.348958333,0.711041806,0.487939214,protein
88,28,radial,0.69403977,215443.469,1.00E-04,NA,NA,NA,0.667261905,0.332738095,0.711041806,0.487939214,protein
89,29,radial,0.752409326,14677.99268,0.000316228,NA,NA,NA,0.529761905,0.470238095,0.711041806,0.487939214,protein
90,30,radial,0.61682902,1467.799268,0.01,NA,NA,NA,0.342261905,0.657738095,0.711041806,0.487939214,protein
91,31,radial,0.76652381,316227.766,0.000464159,NA,NA,NA,0.634920635,0.365079365,0.711041806,0.487939214,protein
92,32,radial,0.791324707,215443.469,0.001,NA,NA,NA,0.53422619,0.46577381,0.711041806,0.487939214,protein
93,33,radial,0.721172161,1467799.268,0.01,NA,NA,NA,0.540625,0.459375,0.711041806,0.487939214,protein
94,34,radial,0.713714569,1.00E+05,0.00014678,NA,NA,NA,0.632440476,0.367559524,0.711041806,0.487939214,protein
95,35,radial,0.637927496,316227.766,0.000215443,NA,NA,NA,0.446428571,0.553571429,0.711041806,0.487939214,protein
96,36,radial,0.722509858,1.00E+06,0.00014678,NA,NA,NA,0.587896825,0.412103175,0.711041806,0.487939214,protein
97,37,radial,0.726314257,146779.9268,0.000681292,NA,NA,NA,0.6375,0.3625,0.711041806,0.487939214,protein
98,38,radial,0.674488953,4641588.834,0.021544347,NA,NA,NA,0.447916667,0.552083333,0.711041806,0.487939214,protein
99,39,radial,0.651732688,2154.43469,0.001,NA,NA,NA,0.6,0.4,0.711041806,0.487939214,protein
100,40,radial,0.655570334,316.227766,0.006812921,NA,NA,NA,0.516666667,0.483333333,0.711041806,0.487939214,protein
101,41,radial,0.718310222,21544.3469,0.000464159,NA,NA,NA,0.465909091,0.534090909,0.711041806,0.487939214,protein
102,42,radial,0.710418859,10000,0.000215443,NA,NA,NA,0.371875,0.628125,0.711041806,0.487939214,protein
103,43,radial,0.710548933,31622776.6,0.002154435,NA,NA,NA,0.476041667,0.523958333,0.711041806,0.487939214,protein
104,44,radial,0.795144776,46415.88834,0.001,NA,NA,NA,0.710119048,0.289880952,0.711041806,0.487939214,protein
105,45,radial,0.662214111,6812.920691,0.01,NA,NA,NA,0.620535714,0.379464286,0.711041806,0.487939214,protein
106,46,radial,0.789527516,2154.43469,0.046415888,NA,NA,NA,0.659722222,0.340277778,0.711041806,0.487939214,protein
107,47,radial,0.711286269,1.00E+06,1.00E-04,NA,NA,NA,0.552678571,0.447321429,0.711041806,0.487939214,protein
108,48,radial,0.764507247,2154.43469,0.001,NA,NA,NA,0.66875,0.33125,0.711041806,0.487939214,protein
109,49,radial,0.685324755,31622.7766,0.002154435,NA,NA,NA,0.478670635,0.521329365,0.711041806,0.487939214,protein
110,50,radial,0.6914198,10000,0.00014678,NA,NA,NA,0.455952381,0.544047619,0.711041806,0.487939214,protein
111,51,radial,0.685679509,46415.88834,0.006812921,NA,NA,NA,0.381944444,0.618055556,0.711041806,0.487939214,protein
112,52,radial,0.703241468,68129.20691,0.000464159,NA,NA,NA,0.627480159,0.372519841,0.711041806,0.487939214,protein
113,53,radial,0.673748474,6812.920691,0.001467799,NA,NA,NA,0.528125,0.471875,0.711041806,0.487939214,protein
114,54,radial,0.73607511,14677992.68,0.001,NA,NA,NA,0.504761905,0.495238095,0.711041806,0.487939214,protein
115,55,radial,0.70980694,10000,0.003162278,NA,NA,NA,0.286706349,0.713293651,0.711041806,0.487939214,protein
116,56,radial,0.71979905,46415.88834,0.000464159,NA,NA,NA,0.569791667,0.430208333,0.711041806,0.487939214,protein
117,57,radial,0.678609323,146779.9268,0.000316228,NA,NA,NA,0.626736111,0.373263889,0.711041806,0.487939214,protein
118,58,radial,0.730810644,31622.7766,0.000464159,NA,NA,NA,0.385416667,0.614583333,0.711041806,0.487939214,protein
119,59,radial,0.650415322,10000,0.014677993,NA,NA,NA,0.43125,0.56875,0.711041806,0.487939214,protein
120,60,radial,0.691338043,31622.7766,0.001,NA,NA,NA,0.46875,0.53125,0.711041806,0.487939214,protein
121,1,RF,0.699277278,NA,NA,3,1,10000,0.615625,0.384375,0.685732332,0.397991898,protein
122,2,RF,0.673035287,NA,NA,1,1,1000,0.63422619,0.36577381,0.685732332,0.397991898,protein
123,3,RF,0.676655067,NA,NA,3,3,1000,0.54375,0.45625,0.685732332,0.397991898,protein
124,4,RF,0.712427406,NA,NA,2,1,5000,0.641666667,0.358333333,0.685732332,0.397991898,protein
125,5,RF,0.692879343,NA,NA,5,2,5000,0.641369048,0.358630952,0.685732332,0.397991898,protein
126,6,RF,0.634325327,NA,NA,2,1,5000,0.638194444,0.361805556,0.685732332,0.397991898,protein
127,7,RF,0.720234825,NA,NA,1,5,10000,0.549702381,0.450297619,0.685732332,0.397991898,protein
128,8,RF,0.628046449,NA,NA,1,1,5000,0.505456349,0.494543651,0.685732332,0.397991898,protein
