"","glucose","glycerol","Na_50_stress","stationary","late_stationary"
"YP_003043231.1",6.81859159125428,6.24395804354547,6.68925200518145,5.83878835016918,5.58329283456233
"YP_003043232.1",9.65275831087121,9.15541113805696,9.6308161057469,8.35278583074346,8.22312999935214
"YP_003043233.1",11.732810218746,11.5590077230221,11.7311907220241,10.5212932466478,11.0406894305748
"YP_003043235.1",8.60474390995578,8.22363149487655,8.68131264102484,7.0633811199178,8.4715286327802
"YP_003043237.1",12.1146039886068,12.2818253283274,12.0835179864932,11.9090426207947,12.3505029910816
"YP_003043243.1",12.4456513984619,12.3668242880879,12.5510542779893,12.6417750303871,13.3088899126069
"YP_003043244.1",8.78938539079077,8.61609465404672,8.97376587973828,8.21304519414459,8.31076897281814
"YP_003043250.1",6.62229711550243,6.35449195903672,6.54280030986447,5.55919757266041,5.04059114331469
"YP_003043255.1",9.40835848766834,9.82991032142283,9.97323418414877,9.44525559644686,10.2025895851131
"YP_003043257.1",8.85544194942503,8.58528688987951,8.9390723786829,10.6223424444253,10.778599791883
"YP_003043259.1",4.87125573754178,5.16011398995585,4.58602007638064,1.33202218170074,2.54024510924396
"YP_003043260.1",7.36150464045567,6.58731192710532,7.00481704573984,7.76994660115159,7.49912116144491
"YP_003043262.1",9.00919485146779,9.14584608402132,9.18754879344926,8.96563271948068,8.62302014345566
"YP_003043263.1",8.22627330072625,8.25955473308631,8.33203198917882,6.72205051570701,6.70261605281801
"YP_003043264.1",5.35837414889816,7.0399505884954,5.3475786980754,3.8740383270268,4.76866418344445
"YP_003043265.1",8.72741340820952,6.8550127750275,8.30503842005774,8.46382759055437,8.66353397844289
"YP_003043266.1",12.1406502430958,11.6871884135694,12.1532812513815,10.5525513003088,10.8894959755089
"YP_003043267.1",10.2100054711605,9.0424185087813,10.3226053453761,8.61213819882339,8.30224082913313
"YP_003043270.1",5.17868586017998,3.76690019640705,2.0648497266314,4.75117189739001,4.76866418344445
"YP_003043281.1",7.81752204534494,8.47654917004941,7.99555968631476,9.88660064353153,9.59648995303354
"YP_003043282.1",5.85989745752906,5.92357965616505,5.89115498158537,5.73339075205447,6.566725835478
"YP_003043285.1",5.91185941110832,6.09266825245264,6.0000580298808,6.54674773309336,5.74342034514805
"YP_003043286.1",10.261514114347,10.3041445411324,10.4608174548617,11.719790001186,10.9329544769409
"YP_003043289.1",6.08022608026093,6.46947438670073,6.40259272509814,4.75117189739001,7.08729927321046
"YP_003043302.1",11.2010898603058,11.3374363636701,11.5116859495826,9.97577668484489,10.0881973122634
"YP_003043303.1",10.6376996321422,10.3746293481454,10.9200807513019,8.07991789464331,7.83099437337222
"YP_003043304.1",11.4568064964863,11.2729942072274,11.6120612722251,10.2671180469266,10.2892860375094
"YP_003043305.1",10.4678021421135,10.5363719187136,10.5744344136495,8.58215692354812,8.59536467289018
"YP_003043308.1",8.38149988986516,8.28068695669914,8.31709796552606,6.66595307891671,6.70261605281801
"YP_003043309.1",9.67262597773116,9.56583883890345,9.66069745194185,11.0699245605465,10.9176831235449
"YP_003043310.1",5.81965482781022,6.07662627748661,5.85846211706162,4.75117189739001,5.52568436668098
"YP_003043314.1",3.5094684663768,4.51376814820213,3.04417539313256,3.38751980128546,1.33202218170074
"YP_003043315.1",7.5615128216037,7.3642464443717,7.63994263017121,7.10615849471832,7.35810740550645
"YP_003043316.1",6.35802638766765,5.95902521407094,6.10129214139072,4.75117189739001,2.99711262522607
"YP_003043318.1",8.61455937318092,9.02999299645838,8.58486223739092,8.59722544811293,8.42515342564785
