"","glucose","glycerol","Na_50_stress","stationary","late_stationary"
"YP_003043231.1",12.0544173297076,11.8718777547918,12.3079912535706,11.8910854672222,12.0187687010559
"YP_003043232.1",8.83804277008407,8.52662158753163,10.2460578201545,9.56552366850677,8.93379421839171
"YP_003043233.1",13.4080762129201,13.1156654365845,13.7542177220063,12.8430323608283,12.9517193912894
"YP_003043235.1",9.25961092066679,8.94846782978784,8.77382503379099,7.43853487664199,7.20440382809984
"YP_003043237.1",12.9500423487102,13.1398316683035,13.3867143267428,13.2419370692121,13.4612959544004
"YP_003043243.1",13.7564398380506,13.7866077886812,13.9951131804462,15.613480787439,15.6044784672631
"YP_003043244.1",9.04299348352289,9.24816911381143,9.07506042193528,9.92772589254203,9.48792811194983
"YP_003043250.1",8.79282599189407,8.62319742051869,12.0594001411082,12.1673584507493,12.1483540921324
"YP_003043255.1",10.0910428803459,10.108776811814,10.6484570225335,12.0611236826705,12.2206840500692
"YP_003043257.1",14.3883612821125,14.0383400590356,14.371949810497,13.6837662844429,13.6599245142335
"YP_003043259.1",7.07510869165694,7.11684541234299,6.63343119473047,6.92862488869863,7.08348099071307
"YP_003043260.1",10.6667930656833,10.5147933696056,10.6964977223922,10.4304066955413,10.4848742960724
"YP_003043262.1",9.88994835825699,10.0983186744382,9.86363436267187,8.4640103066105,8.49963877199142
"YP_003043263.1",7.51191084865123,7.50127783457929,6.61019234008009,4.92709385748554,6.86218803781766
"YP_003043264.1",5.53008129814113,7.5327477805156,6.02351539702794,6.40608954520575,6.46082623275462
"YP_003043265.1",11.1712939311007,10.4660068124742,11.0473301027753,11.8130262819787,11.8390609136506
"YP_003043266.1",12.7509421748171,12.1859494107512,12.1720304365477,12.1618117129847,11.927066784117
"YP_003043267.1",11.6964566652545,11.1616961328183,10.8040088468013,10.8131210618615,10.7404305279427
"YP_003043280.1",3.65027947872327,3.92597206510791,3.4864056929935,3.64725146715819,3.64852374381306
"YP_003043281.1",7.87867782889775,7.98333877546386,7.58318819037412,8.77633109819622,8.60195753382922
"YP_003043282.1",5.84909095996254,5.57741233682028,6.02351539702794,5.36831353316186,5.61664278109915
"YP_003043283.1",4.53655513517097,4.63894407695317,5.26049737725753,5.51990389706475,5.42493700611593
"YP_003043285.1",7.25483854201668,7.21334518740549,7.81817260542485,7.43853487664199,6.98557890317919
"YP_003043286.1",10.1934577116317,10.039403006915,10.2413715261897,10.2080467604343,9.98724513210849
"YP_003043288.1",3.47370672247536,5.5007852217393,5.02243472966621,3.89189230607982,5.74455328822689
"YP_003043302.1",11.8991942910328,12.0213425571217,11.57592783935,7.91432989193959,7.8843975819523
"YP_003043303.1",11.0148474335424,11.1954497724721,10.3287915113961,8.45798494396721,8.06254016645409
"YP_003043304.1",11.7419159746787,11.9763654970903,13.2353935957703,11.0636872280178,11.2694664338174
"YP_003043305.1",10.987656389011,11.4055535026298,12.2840394817527,11.4070368959141,11.0855650700504
"YP_003043308.1",8.42589817132829,8.61734734696831,8.26159143191315,8.42129393615043,8.57983948660988
"YP_003043309.1",10.1741049500779,9.98025831409037,10.1311860916661,10.2169896153154,9.88501583934403
"YP_003043313.1",5.88654374681262,5.52681226991612,3.80580917019112,3.04202652583123,3.04202652583123
"YP_003043314.1",4.42547560965114,4.63894407695317,4.19173143115829,3.04202652583123,3.64852374381306
"YP_003043315.1",8.63185965656544,8.30431039175793,8.41604471002026,8.48193670152205,8.22818011346962
"YP_003043316.1",8.67971288339179,8.62611357785541,8.51881054269887,8.3644439705647,8.2839835493697
"YP_003043317.1",4.85757340578303,5.10603560410911,4.82013190131317,5.92974908322706,5.89848375742511
"YP_003043318.1",6.24328157498889,6.14033450391681,5.7279180513933,5.78012577098837,5.31774798761472
"YP_003043320.1",6.39259295183271,6.46395582338208,6.14257365855908,6.68082115734378,6.43620619498401
"YP_003043321.1",8.40706532661736,8.17483127734703,8.43259287135316,8.78116442775345,8.77740246208891
"YP_003043324.1",8.78555505873764,8.81173155805789,8.68270669513958,8.26440620484438,8.42715397774351
"YP_003043325.1",12.1440555899927,11.7575668178634,12.1285354032408,11.0725826764872,11.2158191054079
"YP_003043326.1",6.82271614608595,6.74891723248579,7.07579431803361,6.68082115734378,6.46082623275462
"YP_003043328.1",9.07912141788151,9.00107520520217,8.50948159474487,8.95376681963541,9.02663945042777
"YP_003043330.1",6.43071891517379,6.36879523243052,5.96921474380348,4.35908205696875,3.64852374381306
"YP_003043332.1",6.09227998849254,5.57741233682028,6.46216423633554,6.45573139896721,6.96859032750642
"YP_003043333.1",9.75999131306176,9.86530125350518,9.06660620470368,9.04097314735798,9.29444079290006
"YP_003043337.1",8.92222396986393,8.85959208770574,8.73166222105424,8.16432205154068,8.29080941243441
"YP_003043339.1",3.89608546767517,3.92597206510791,3.04202652583123,3.04202652583123,3.04202652583123
"YP_003043340.1",7.36325072809476,6.98629185809053,5.93180245953435,5.51990389706475,5.42493700611593
"YP_003043341.1",6.51588256805623,5.74104216183554,6.2821656313797,5.42076959266965,6.06962815534076
"YP_003043342.1",12.082368075678,11.6705941374357,12.277645639183,12.925812393999,13.0891461136409
"YP_003043343.1",12.719662227314,12.142585984781,13.0523431502322,13.5237889584562,13.6771100933944
"YP_003043344.1",13.1945335206666,13.0081881026223,13.1487103981686,13.433837457545,13.5627055489853
"YP_003043346.1",12.4665454698587,13.0739773077295,11.125195971131,10.4396043369853,10.1461472074219
"YP_003043348.1",10.3867861530147,9.40066599380149,9.93618669605002,9.01248638256257,9.36078198324122
"YP_003043349.1",9.6239645998823,8.8040272535826,9.32942167994995,7.92310981780468,8.06254016645409
"YP_003043351.1",9.6157902092452,9.66159208337932,8.64060079060121,8.00808374470699,8.10963648640553
"YP_003043352.1",5.5538288495113,4.99505705749508,7.58911259300683,8.42747434622598,9.1215407253449
"YP_003043353.1",9.92344943212443,9.42095250113372,10.1066595906137,9.35154123307015,9.53465673453602
"YP_003043355.1",7.76978503149146,7.76240833523747,6.44910235090674,7.0621865207432,6.82488373979586
"YP_003043359.1",8.99547235105558,8.32958205905391,8.48112686670697,7.22759657950097,7.52751570615123
"YP_003043361.1",9.92455284479964,10.1035572205845,10.1672112492973,10.0508746193405,10.0708659630346
"YP_003043362.1",10.9162394822182,10.8198650287452,10.5389146505645,10.8686540574387,10.6557753760527
"YP_003043371.1",5.5538288495113,5.36251558676096,5.37930971608208,5.31370707492361,5.78467320488442
"YP_003043373.1",12.0895179189608,12.3441217962722,13.0134310873482,12.9217159107202,12.9270301576078
"YP_003043377.1",6.37965263624945,6.35466311609529,5.7279180513933,6.68082115734378,6.55524341730796
"YP_003043378.1",9.37712003315335,9.50253638842459,9.50392041766229,9.92336138873407,9.97459095330043
"YP_003043382.1",11.0885608405367,10.9963828340689,10.9898190945017,10.5806962998306,10.6074165713569
"YP_003043388.1",3.65027947872327,3.81046044911796,3.66803812319792,3.64725146715819,3.64852374381306
"YP_003043389.1",11.2856231912933,11.3961924845006,10.7026475873575,10.3882758124707,10.6142307954795
"YP_003043391.1",10.3279602918373,10.9952559805455,11.4062751993802,11.8628757981088,11.6967284675613
"YP_003043393.1",12.9989151518945,12.5124815878898,12.8437275334061,12.3983469676188,12.4036898399476
"YP_003043394.1",6.77430934704546,7.00440247968821,6.65629661991591,6.68082115734378,6.62215318733542
"YP_003043395.1",10.1231147374003,10.0664814984002,11.1103666438794,10.7881365924137,10.8564730175806
"YP_003043396.1",14.4039209661684,14.2054537585227,14.3508408311691,13.994745299152,14.1852677612855
"YP_003043397.1",13.8513770938203,13.5601610765215,14.0281362615481,13.9966938878533,13.8967305625036
"YP_003043398.1",9.08702839354353,9.02114932406879,9.08973707527871,8.20086983014748,9.12917431127434
"YP_003043399.1",12.0407451034862,11.7020144423308,12.0766024625365,12.0146979500169,11.9590001506361
"YP_003043402.1",5.57716784173938,5.55234823492033,6.12617212980251,6.76175106246631,6.96859032750642
"YP_003043406.1",6.2994203264215,6.51559564692364,6.55037728768228,7.51027776299202,6.6860568776689
"YP_003043407.1",11.8451579204207,11.7205433172943,12.2275824384778,11.9055393614145,12.0840344848098
"YP_003043408.1",9.53139249450609,9.67573007196073,9.29726691232145,9.2610401717279,9.19247835895287
"YP_003043409.1",5.23667967461547,5.27210454357503,4.90504433240263,5.42076959266965,4.93062467414998
"YP_003043410.1",6.37965263624945,5.47424660739566,4.11026597634136,4.4756906978625,3.64852374381306
"YP_003043411.1",3.78429677474208,3.92597206510791,4.11026597634136,4.35908205696875,4.23011447296429
"YP_003043412.1",11.4808901300535,11.2704904461349,11.2125439135666,11.0517406599751,11.1941527152484
"YP_003043413.1",4.08078774963278,4.19853751922512,3.9206604887968,4.58104880982854,5.1386455463989
"YP_003043414.1",6.86953514114146,6.92103542190154,8.10104821410086,7.68573466087229,8.72294312779754
"YP_003043415.1",3.47370672247536,4.11663307757794,3.9206604887968,3.04202652583123,3.04202652583123
"YP_003043416.1",9.14119556616329,9.15636700057069,9.94543670805906,10.0164561586917,9.58824960333117
"YP_003043417.1",10.1422107878865,10.3134187132373,10.8160349712001,10.4994674636105,9.9402935103728
"YP_003043418.1",3.65027947872327,3.67187921271899,3.80580917019112,3.04202652583123,3.04202652583123
"YP_003043422.1",11.656175581957,11.5422241166135,11.0037215883589,11.61685269529,11.6073432247775
"YP_003043424.1",9.21701224227317,8.95775590779649,9.88181631419275,10.2763736823512,10.3411235920441
"YP_003043425.1",14.4394747304087,14.1258928152304,14.3060471134905,14.7145438704833,14.5007029524597
"YP_003043426.1",8.85666517310854,8.25239699383315,8.48430508195256,8.61243111270093,8.42094573406989
"YP_003043427.1",9.69034089762859,9.78410614622116,9.36605135027004,9.65511345188018,9.56029120436077
"YP_003043428.1",7.97138229880172,7.89415728361464,8.76862162606512,8.00808374470699,8.12499909708176
"YP_003043429.1",6.37965263624945,6.91146509809903,7.52874008950455,7.0461573141295,8.27712519175684
"YP_003043430.1",4.23341910133665,4.11663307757794,4.19173143115829,4.4756906978625,4.36171070344898
"YP_003043434.1",7.81814541330833,7.87955680924637,7.73515520038621,7.69602109909315,7.96345798792615
"YP_003043436.1",5.00883098689434,4.53025709137012,5.29121528523903,5.19721494243686,5.31774798761472
"YP_003043437.1",4.63759101733225,4.5858969375586,4.62994545955694,3.04202652583123,4.07786970955328
"YP_003043445.1",6.31311280107994,6.78083859794155,6.99760467986238,8.64461557722234,8.66634543439326
"YP_003043446.1",11.2992977239098,11.6337750439516,11.6097725163483,11.5110373252697,11.4494173151543
"YP_003043447.1",5.88654374681262,5.90693819531582,6.32578401661565,6.1277655434169,6.48502599660535
"YP_003043448.1",6.228890458968,5.80560831449586,5.16377564703342,5.51990389706475,5.1386455463989
"YP_003043450.1",7.70952128452353,6.97714984000085,7.36567956016794,5.8190746721114,5.26072204142643
"YP_003043459.1",10.8181323159582,11.1727030838556,11.5224654977247,11.5861220333056,11.701215611493
"YP_003043460.1",11.3048161893927,11.480347087524,11.9576543983988,11.3299963066368,11.3735351029998
